Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst Rating
ADVENZYMES,ADVANCED ENZYME TECH LTD,338.25,INR,0.08877052818464606,209871,0.7173595606240625,37860580238,INR,28.87077500853534,11.716,INR,-1.7180055029863812,1.50709219858156,Consumer non-durables,
POLYPLEX,POLYPLEX CORPORATION LTD,1205.7,INR,0.18280016618197303,45035,0.39019449508217174,37834195699,INR,18.091949780096606,66.6429,INR,453.0209863327441,0.829737802854298,Process industries,
HUBTOWN,HUBTOWN LTD,278.9,INR,1.8254837531945967,2061022,0.849477317363605,37825806385,INR,72.22581898226078,3.8615,INR,,0,Finance,
JAMNAAUTO,JAMNA AUTO IND LTD,94.69,INR,-1.2823185988323644,775792,0.5619391868037547,37767437746,INR,20.98765432098765,4.5117,INR,-12.1074573365542,2.42974857384323,Producer manufacturing,Strong buy
GOODLUCK,GOODLUCK INDIA LTD,1128.6,INR,-1.5956055453832225,104068,0.5554357641965214,37709085417,INR,22.11709557814864,51.0284,INR,9.955331266174372,0.528867342441604,Non-energy minerals,Strong buy
NSIL,NALWA SONS INVESTMENT LTD,7259.5,INR,-0.19934011547979102,6638,0.6516403903166905,37361221292,INR,81.27755622084834,89.3174,INR,-18.479468220944227,0,Finance,
HPL,HPL ELECTRIC & POWER LTD,578.05,INR,-0.6274712050885491,413085,1.4259922501359246,37162469751,INR,39.62747907397632,14.5871,INR,115.30457115024132,0.173025348213513,Electronic technology,
WSTCSTPAPR,WEST COAST PAPER MILLS LTD,563.15,INR,8.235633288487417,690871,10.691122081057241,37162417684,INR,11.954267470764423,47.1087,INR,-55.03719483910869,1.4218430640718,Producer manufacturing,
MEDIASSIST,MEDI ASSIST HEALTH SER L,526.65,INR,0.6690241804453789,70530,0.30712514663886736,37141844358,INR,41.04832424006235,12.83,INR,,0.759661950432058,Finance,Strong buy
GOLDIAM,GOLDIAM INTERNATIONAL LTD,347.7,INR,1.4590020426028596,263429,0.96688507886917,37116645387,INR,31.70449260957973,10.9669,INR,29.844190286756195,0.575456768810243,Consumer durables,
HARSHA,HARSHA ENGINEERS INT LTD,407.15,INR,0,56362,0.410314874187189,37050396752,INR,41.49510803098247,9.812,INR,-19.83070650619736,0.245730433714216,Producer manufacturing,Buy
MBAPL,MADHYA BHARAT AGRO P. LTD,422.65,INR,-0.9375366225243175,76331,0.15040199939627186,37035524754,INR,83.0402577755074,5.0897,INR,-6.583584171499902,0.118301194842068,Process industries,
EASEMYTRIP,EASY TRIP PLANNERS LTD,10.39,INR,-0.19212295869355978,7561315,0.5903993201406792,36858444156,INR,34.69115191986645,0.2995,INR,1.8014955812372435,0,Consumer services,
BALMLAWRIE,BALMER LAWRIE & CO LTD,214.78,INR,0.05124144035031148,468370,2.74352544513386,36740177188,INR,13.814173066285905,15.5478,INR,1.652163111061718,3.95624854549686,Producer manufacturing,
KOLTEPATIL,KOLTE PATIL DEV. LTD.,481.55,INR,0.943297348286343,165113,0.3248346542760496,36588522409,INR,34.39618288440797,14.0001,INR,,0.830909846281678,Finance,Strong buy
PITTIENG,PITTI ENGINEERING LTD,968.7,INR,-0.82923832923832,29905,0.8793157185954471,36505156626,INR,28.17552769124718,34.3809,INR,22.1763016872539,0.154718927282104,Producer manufacturing,Buy
JASH,JASH ENGINEERING LTD,580.3,INR,0.694082942911678,210183,1.2582719212648392,36498378085,INR,41.99503556877473,13.8183,INR,26.681579405751805,0.385144429160935,Producer manufacturing,Strong buy
JTEKTINDIA,JTEKT INDIA LTD,143.11,INR,-1.0646387832699564,132353,0.1369602468312298,36324864023,INR,48.338174694318724,2.9606,INR,-28.193063303419848,0.419874037788663,Consumer durables,Strong buy
ARKADE,ARKADE DEVELOPERS LTD,194.01,INR,-0.9445522311855522,1147406,0.7427318783658301,35972326375,INR,20.495673945425157,9.4659,INR,,0,Consumer durables,
MOREPENLAB,MOREPEN LAB. LTD,65.36,INR,2.2208320300281543,9454752,2.68126074570724,35748496542,INR,29.782192654697898,2.1946,INR,16.659578992132676,0,Health technology,
ARTEMISMED,ARTEMIS MED SERVICE LTD,256.95,INR,1.2411347517730407,211230,2.604305370616955,35690268871,INR,48.57277882797732,5.29,INR,49.43502824858757,0.175131348511384,Health services,Buy
KKCL,KEWAL KIRAN CLOTHING LTD,578.65,INR,0.1991341991341952,105343,0.592876121460165,35684061525,INR,13.615165974908471,42.5004,INR,69.57562602741912,0.345393316639323,Consumer non-durables,Strong buy
GREENPANEL,GREENPANEL INDUSTRIES LTD,290.55,INR,4.4955943175687825,624990,6.17598580192259,35635519701,INR,49.37967369136641,5.884,INR,-49.43105641307711,0.103234686854783,Non-energy minerals,Buy
AJMERA,AJMERA REALTY & INF I LTD,902.75,INR,1.2108302034867373,27104,0.5211335577786451,35507837424,INR,26.611267672063107,33.9236,INR,19.382458412367722,0.426168043008369,Finance,
UEL,UJAAS ENERGY LTD,310.9,INR,-4.996180290297944,3877,3.029227984734977,35467977993,INR,702.440126525079,0.4426,INR,,0,Utilities,
MAITHANALL,MAITHAN ALLOYS LTD,1214.6,INR,-0.2218023494619277,43926,0.5331944692271557,35369077812,INR,5.61090028017545,216.4715,INR,80.5885542671227,1.31692662249475,Non-energy minerals,
BAJAJHIND,BAJAJ HINDUSTHAN SUGAR LTD,27.65,INR,0.1086169442432932,10447525,0.7543984973674318,35357324784,INR,,-0.1895,INR,72.7102534562212,0,Process industries,
