Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"EPS diluted, Trailing 12 months","EPS diluted, Trailing 12 months - Currency","EPS diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst Rating
TARSONS,TARSONS PRODUCTS LTD,406.95,INR,-0.0981956548422816,24493,0.18512933657137717,21708162140,INR,62.67132780977607,6.4934,INR,-43.67475104958189,0.490196,Process industries,Buy
VINDHYATEL,VINDHYA TELELINKS LTD,1827.65,INR,0.337633818281641,14104,0.7309930912238329,21589310502,INR,9.37985152567251,194.8485,INR,-1.8097680001693157,0.823384,Industrial services,
MBAPL,MADHYA BHARAT AGRO P. LTD,241.07,INR,-1.8524550118068608,8411,0.17304982048987233,21512413246,INR,75.44282405958566,3.1954,INR,-67.11807199160305,0.203666,Process industries,
THEJO,THEJO ENGINEERING LTD,1925.2,INR,-2.459784673844203,3047,0.7161996991350132,21475361271,INR,40.57323498419389,47.45,INR,116.20661059116219,0.151485,Distribution services,
AGIIL,AGI INFRA LTD,1723.45,INR,-0.4304119244323788,5728,0.3239525834766085,21389033320,INR,37.513359148323005,45.9423,INR,5.1506114405645125,0.0571167,Finance,
ASALCBR,ASSO ALCOHOLS & BREW LTD,1164.5,INR,-1.2256669069935149,37687,0.6940809647554133,21254810554,INR,36.619957483741935,31.7996,INR,23.877009618118993,0.170119,Consumer non-durables,
EXPLEOSOL,EXPLEO SOLUTIONS LTD,1314.6,INR,-1.756221508108512,10247,0.9322488786993822,21244971303,INR,18.696746060755178,70.3117,INR,-3.922008037506538,0.365257,Technology services,
WEL,WONDER ELECTRICALS LTD,160.4,INR,-0.8407517309594371,281134,0.5614023176262204,21086158926,INR,181.859410430839,0.882,INR,65.66491359879791,0.127105,Electronic technology,
SANGAMIND,SANGAM (INDIA) LTD,402.9,INR,-2.7633643055388064,13281,0.3978026651969843,21060844958,INR,54.07182735666738,7.4512,INR,-49.909582871164,0.477156,Process industries,
MMFL,MM FORGINGS LTD,426.8,INR,-1.4432513566562752,31455,0.4575492350905571,20995254469,INR,15.653424094830116,27.2656,INR,1.0301027138389434,0.919857,Producer manufacturing,Strong buy
DEEDEV,DEE DEVELOPMENT ENG LTD,288.6,INR,-1.585677749360606,73128,0.6084214554924163,20951000000,INR,,,,,0,Producer manufacturing,Strong buy
CUPID,CUPID LTD,75.05,INR,-4.187412230307674,318657,0.7617683634376552,20875334176,INR,39.727912762691226,1.8891,INR,96.86327636515215,0.321378,Consumer non-durables,
SIGNPOST,SIGNPOST INDIA LTD,385,INR,0.8117308195862852,69731,0.719014902873028,20845500000,INR,37.85867406139989,10.1694,INR,33.15961765091004,0.128205,Commercial services,
MOLDTKPAC,MOLD-TEK PACKAGING LTD,609.2,INR,-1.7657018463274905,65170,1.788870955345469,20819574629,INR,32.23041679452316,18.9014,INR,-14.85855855855856,0.478813,Producer manufacturing,Buy
DEN,DEN NETWORKS LTD,41.46,INR,-2.0552799433026165,513192,0.5420119115628088,20767923244,INR,8.827850526988183,4.6965,INR,-17.320963312442775,0,Consumer services,
BCG,BRIGHTCOM GROUP LTD,10.25,INR,4.378818737270873,7274134,1.9088415075371479,20744236336,INR,,,,,0,Technology services,
AMRUTANJAN,AMRUTAJAN HEALTH LTD,702.2,INR,-1.1403632268055623,4485,0.4909419298341634,20733286123,INR,42.698350926691646,16.4456,INR,28.98509803921568,0.648527,Health technology,
DREAMFOLKS,DREAMFOLKS SERVICES LTD,382.1,INR,0.09168303863785796,55208,0.8243494257267259,20700669137,INR,29.279693486590038,13.05,INR,-5.297532656023213,0.514668,Transportation,Strong buy
CARYSIL,CARYSIL LTD,717.45,INR,-1.4288658377412897,73519,1.7988236042534242,20685140403,INR,31.234218545929476,22.97,INR,19.68216751335157,0.274744,Consumer durables,Strong buy
TATVA,TATVA CHIN PHARM CHEM LTD,863.5,INR,-0.21378632923094965,9833,0.28609668456043874,20629454327,INR,114.67615771789798,7.5299,INR,-63.466063743589494,0.226783,Process industries,Neutral
ALPEXSOLAR,ALPEX SOLAR LTD,807.95,INR,-2.244404113732602,110200,2.4166666666666665,20556400000,INR,40.570329604113525,19.9148,INR,,0,Electronic technology,
MOL,MEGHMANI ORGANICS LTD,79.63,INR,-1.9214188939524601,759115,0.7015544887094101,20520615375,INR,,-3.4715,INR,-193.7711028875503,0,Process industries,Strong buy
GANDHAR,GANDHAR OIL REFINE IND L,202.56,INR,-1.9269875084729302,159718,1.1159967830493813,20493939635,INR,18.792967481560517,10.7785,INR,,0.238777,Process industries,
SMSPHARMA,SMS PHARMACEUTICALS LTD.,230,INR,-1.4271632451892222,79452,0.48278778775129244,20447698333,INR,32.81214334626797,7.0096,INR,91.10662777065896,0.165597,Health technology,
MICEL,MIC ELECTRONICS LTD,80.46,INR,-3.2932692307692415,314919,0.5969991088207409,20358247288,INR,31.783527552834286,2.5315,INR,396.5672812867791,0,Health technology,
TIL,TIL LTD,295,INR,-4.174110768231289,4925,0.3510334996436208,20190413601,INR,2.167401256504959,136.1077,INR,,0,Producer manufacturing,
ESAFSFB,ESAF SMALL FINANCE BANK L,37.9,INR,-2.64577446699204,256851,0.48681289001975864,20165412129,INR,69.12274302389203,0.5483,INR,-93.41500030024619,1.78799,Finance,
HUHTAMAKI,HUHTAMAKI INDIA LTD,256.15,INR,-1.9521531100478555,34282,0.8341870192693746,20130370722,INR,4.791907914551947,53.4547,INR,307.53161999588315,1.87582,Process industries,Strong buy
IPL,INDIA PESTICIDES LTD,170.24,INR,-1.0462683096954097,85435,0.7150760649766315,20107548773,INR,27.832910978500777,6.1165,INR,-29.381270709939617,0.429553,Process industries,
HESTERBIO,HESTER BIOSCIENCES LTD,2338.1,INR,-0.3303706545601808,2757,0.9197971575365317,20101723180,INR,84.74969461692093,27.5883,INR,-8.581416926237658,0.253914,Health technology,
SMLISUZU,SML ISUZU LTD,1348.2,INR,-1.1583577712609938,4082,0.23783443646872376,20087369366,INR,15.837866857131445,85.1251,INR,54.87822628478274,1.1527,Consumer durables,
MANGCHEFER,MANG.CHEM.FERT.LTD,166.38,INR,-2.9288214702450466,208213,0.4458031814057296,20023134565,INR,18.239021288724214,9.1222,INR,-58.58402418981377,0.887837,Process industries,Strong buy
CLSEL,CHAMAN LAL SETIA EXP LTD,376,INR,-2.426365641624503,56403,0.39671531563214346,19994672214,INR,17.315379372593807,21.7148,INR,-12.847619391633454,0.559562,Process industries,
SENORES,SENORES PHARMACEUTICALS L,515.65,INR,-2.92733433734941,438678,,19991600000,INR,,,,,0,Health technology,
BETA,BETA DRUGS LTD,1970.05,INR,-2.0898563689677427,2600,0.7784431137724551,19961739420,INR,46.193906310818484,42.6474,INR,17.962023040646123,0,Health technology,Strong buy
HMAAGRO,HMA AGRO INDUSTRIES LTD,38.84,INR,-1.993439313651272,155910,0.6369655746070084,19945700000,INR,19.390913629555666,2.003,INR,7.555173709928585,0.753201,Distribution services,
OWAIS,OWAIS METAL & MINERAL,1090,INR,-2.0136641495864875,12200,0.3302652950730915,19864300000,INR,55.091963143982085,19.7851,INR,,0.183066,Process industries,
VLEGOV,VL E GOV AND IT SOL LTD,172.14,INR,-2.9212722761109897,658821,0.46902180533040383,19775800000,INR,,-15.3918,INR,,0,Technology services,
DLINKINDIA,D-LINK INDIA LTD,523.05,INR,-1.5064494868656437,102380,0.7232340528939958,19513463858,INR,18.877423965179354,27.7077,INR,6.864008022215359,1.4556,Electronic technology,
EKC,EVEREST KANTO CYLINDERLTD,166.8,INR,-1.2608772864500062,539220,0.728110406177919,19507305809,INR,15.905710035473167,10.4868,INR,75.57594428073935,0.402646,Producer manufacturing,
INDIANHUME,INDIAN HUME PIPE CO. LTD.,357.2,INR,-3.6027526649575017,28710,0.5451593608476459,19500156964,INR,18.22923311678039,19.5949,INR,103.83115059344863,0.405241,Producer manufacturing,Strong buy
STERTOOLS,STERLING TOOLS LTD,516.7,INR,-0.32793209876541896,124923,0.5573070740876724,19471086523,INR,28.418684721450692,18.1817,INR,38.6889097385905,0.370028,Producer manufacturing,Strong buy
RUPA,RUPA & COMPANY LTD,240.5,INR,-0.2074688796680498,80143,1.0714863475502063,19455682879,INR,25.87134251290878,9.296,INR,50.35259105906707,1.22624,Consumer non-durables,Buy
PNBGILTS,PNB GILTS LTD,102.41,INR,-2.5780060882800684,240504,0.8585531353446347,19414092444,INR,8.349639630825424,12.2652,INR,507.7296600931523,0.927214,Finance,
TTKHLTCARE,TTK HEALTHCARE LTD,1350.05,INR,-0.7644529383659885,2031,0.6309608872596228,19397414553,INR,23.862929340064195,56.5752,INR,31.88737568944859,0.728465,Health technology,
NDRAUTO,NDR AUTO COMPONENTS LTD,830.8,INR,-3.2716264990103645,65096,1.444049087375884,19357669912,INR,45.290753773775194,18.3437,INR,27.553333518760592,0.230386,Producer manufacturing,
SURAKSHA,SURAKSHA DIAGNOSTIC LTD,353.75,INR,-2.655476059438629,90833,0.28587308636116004,19353200000,INR,,,,,0,Health services,
AGARIND,AGARWAL INDS CORP LTD.,1227.95,INR,-2.7674400190038835,16627,0.8361831385407655,19312750176,INR,14.92342319349954,82.2834,INR,26.75618927608077,0.232351,Process industries,
ADORWELD,ADOR WELDING LTD,1092,INR,-0.7272727272727273,6454,0.5756127144946667,19288409431,INR,28.15318218615132,38.7878,INR,-24.357519238344864,3.24807,Producer manufacturing,Strong buy
FUSION,FUSION FINANCE LTD,181.48,INR,-3.6218799787573133,188256,0.47439734557630064,19260202106,INR,,-8.1859,INR,-117.7996525263595,0,Finance,Sell
INSECTICID,INSECTICIDES (I) LTD,629.1,INR,-3.8661369193153967,23932,0.5604565711729721,19235125090,INR,14.259485924112607,44.118,INR,109.38378008960439,0.756372,Process industries,Strong buy
SESHAPAPER,SESHASAYEE PAPER & BOARDS,290.1,INR,-2.372539121655714,23510,1.0279797639712989,19175867786,INR,9.133728362099909,31.7614,INR,-48.87887757384954,1.64447,Process industries,
ROTO,ROTO PUMPS LTD,281.85,INR,-3.293875450334523,98558,0.35386861355801,19149220164,INR,49.37287601163158,5.7086,INR,-11.594629334241871,0.616697,Producer manufacturing,
APCOTEXIND,APCOTEX INDUSTRIES LTD,371,INR,-1.6045617292136352,24143,1.0857130008544318,19073760195,INR,36.84686205766385,10.0687,INR,-26.494035538553646,1.49497,Process industries,Buy
DSSL,DYNACONS SYS & SOLN LTD,1429.9,INR,-4.914217316132455,46531,0.43101020767335446,18962904394,INR,28.82322467763101,49.6093,INR,,0.0335211,Technology services,
TALBROAUTO,TALBROS AUTO. COMP. LTD,294.3,INR,-1.7034068136272433,98994,1.0527894229726196,18947456216,INR,15.585447227665098,18.883,INR,71.24486483055075,0.22805,Producer manufacturing,
GREENPOWER,ORIENT GREEN POWER CO LTD,15.64,INR,-2.0663744520976834,3496877,1.2108970299290438,18944460154,INR,54.09892770667589,0.2891,INR,-65.25657973801225,0,Utilities,
VSSL,VARDHMAN SPC STEEL LTD,227.46,INR,-2.205597833096864,24876,0.65562018517395,18929629694,INR,17.53739398612182,12.97,INR,33.64245234415251,0.861698,Non-energy minerals,
GOCLCORP,GOCL CORPORATION LTD,370,INR,-0.9105516871987084,16208,0.288331880525857,18812854317,INR,29.551535481809832,12.5205,INR,-15.681758490413559,1.31752,Process industries,
KABRAEXTRU,KABRA EXTRUSION TECHNIK L,513.4,INR,-2.24676313785226,97326,0.3161368971575744,18757679488,INR,48.85568825236713,10.5085,INR,4.250992063492061,0.652559,Producer manufacturing,
MUKANDLTD,MUKAND LTD.,124.96,INR,-0.7071911005164884,74699,1.1619322865951351,18618253748,INR,18.319894443629966,6.821,INR,-50.42229361399021,1.55219,Non-energy minerals,
STEELCAS,STEELCAST LTD,874.2,INR,-2.1600447677672023,25256,1.2241119420708508,18568176284,INR,28.376575529666866,30.8071,INR,-19.74768025258025,0.784827,Non-energy minerals,
